"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 12:26:05 IST 2021","Wed Oct 13 12:26:06 IST 2021","266","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Find a Category","Find a Category",""
"passed","Wed Oct 13 12:26:03 IST 2021","Wed Oct 13 12:26:03 IST 2021","284","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Navigate to dashboard ","Navigate to dashboard ",""
"passed","Wed Oct 13 12:26:07 IST 2021","Wed Oct 13 12:26:08 IST 2021","459","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Sign out of the link","Sign out of the link",""
"passed","Wed Oct 13 12:26:07 IST 2021","Wed Oct 13 12:26:07 IST 2021","290","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Confirming the Order","Confirming the Order",""
"passed","Wed Oct 13 12:26:06 IST 2021","Wed Oct 13 12:26:07 IST 2021","748","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Updating the Cart","Updating the Cart",""
"passed","Wed Oct 13 12:26:05 IST 2021","Wed Oct 13 12:26:05 IST 2021","295","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Launch Dashboard","Launch Dashboard",""
"passed","Wed Oct 13 12:25:58 IST 2021","Wed Oct 13 12:26:03 IST 2021","5039","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Launch the main application","Launch the main application",""
"passed","Wed Oct 13 12:26:06 IST 2021","Wed Oct 13 12:26:06 IST 2021","335","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Purchase a Category","Purchase a Category",""
"passed","Wed Oct 13 12:26:07 IST 2021","Wed Oct 13 12:26:07 IST 2021","275","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Asserting the User details one last time","Asserting the User details one last time",""
"passed","Wed Oct 13 12:26:04 IST 2021","Wed Oct 13 12:26:05 IST 2021","1526","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Sign it to the user","Sign it to the user",""
"skipped","Wed Oct 13 12:26:04 IST 2021","Wed Oct 13 12:26:04 IST 2021","0","","This test signs-in,purchase some items and sign out","","This test signs-in,purchase some items and sign out","Registers a new user","Registers a new user",""
